"filename", "language", "PHP", "JSON", "C++", "Python", "TypeScript", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/oathompsonjones/Sites/Output Algorithms/ScrollBit/scrollbit.py", "Python", 0, 0, 0, 135, 0, 0, 0, 0, 29, 164
"/Users/oathompsonjones/Sites/Pages/404.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/oathompsonjones/Sites/Pages/animations.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/oathompsonjones/Sites/Pages/class.php", "PHP", 415, 0, 0, 0, 0, 0, 0, 10, 3, 428
"/Users/oathompsonjones/Sites/Pages/editor.php", "PHP", 250, 0, 0, 0, 0, 0, 0, 5, 12, 267
"/Users/oathompsonjones/Sites/Pages/generateCode.php", "PHP", 136, 0, 0, 0, 0, 0, 0, 0, 2, 138
"/Users/oathompsonjones/Sites/Pages/home.php", "PHP", 436, 0, 0, 0, 0, 0, 0, 0, 10, 446
"/Users/oathompsonjones/Sites/Pages/login.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 7, 2, 32
"/Users/oathompsonjones/Sites/Pages/logout.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/oathompsonjones/Sites/Pages/profile.php", "PHP", 284, 0, 0, 0, 0, 0, 0, 0, 5, 289
"/Users/oathompsonjones/Sites/Pages/signup.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 8, 2, 42
"/Users/oathompsonjones/Sites/Utils/Forms/createAssignment.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/oathompsonjones/Sites/Utils/Forms/createClass.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/oathompsonjones/Sites/Utils/Forms/deleteAnimation.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/oathompsonjones/Sites/Utils/Forms/deleteAssignment.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/oathompsonjones/Sites/Utils/Forms/deleteChatMessage.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/oathompsonjones/Sites/Utils/Forms/deleteClass.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/oathompsonjones/Sites/Utils/Forms/deleteComment.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/oathompsonjones/Sites/Utils/Forms/deleteUser.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/oathompsonjones/Sites/Utils/Forms/followUser.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/oathompsonjones/Sites/Utils/Forms/generateCode.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 2, 67
"/Users/oathompsonjones/Sites/Utils/Forms/handInAssignment.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/oathompsonjones/Sites/Utils/Forms/joinClass.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/oathompsonjones/Sites/Utils/Forms/kickUserFromClass.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/oathompsonjones/Sites/Utils/Forms/likePost.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/oathompsonjones/Sites/Utils/Forms/makeAdmin.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/oathompsonjones/Sites/Utils/Forms/muteUserInClass.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/oathompsonjones/Sites/Utils/Forms/postComment.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/oathompsonjones/Sites/Utils/Forms/resetPassword.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/oathompsonjones/Sites/Utils/Forms/saveAnimation.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 2, 27
"/Users/oathompsonjones/Sites/Utils/Forms/saveClass.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/oathompsonjones/Sites/Utils/Forms/sendChatMessage.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/oathompsonjones/Sites/Utils/Forms/shareAnimation.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/oathompsonjones/Sites/Utils/Forms/unFollowUser.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/oathompsonjones/Sites/Utils/Forms/unLikePost.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/oathompsonjones/Sites/Utils/Forms/unMuteUserInClass.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/oathompsonjones/Sites/Utils/Forms/unShareAnimation.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/oathompsonjones/Sites/Utils/Forms/updateClassChatInput.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/oathompsonjones/Sites/Utils/Forms/updateMessages.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/oathompsonjones/Sites/Utils/Functions/arrayMappers.php", "PHP", 77, 0, 0, 0, 0, 0, 0, 95, 2, 174
"/Users/oathompsonjones/Sites/Utils/Functions/arraySorters.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 6, 2, 13
"/Users/oathompsonjones/Sites/index.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 14, 10, 67
"/Users/oathompsonjones/Sites/tsconfig.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 5, 0, 34
"Total", "-", 4088, 29, 1152, 715, 1166, 79, 706, 1094, 398, 9427
